transaction_id,amount,merchant,category,time_of_day,account_age_days,previous_transactions,timestamp
b95c2dd7-f093-4370-a127-4cd2da354e90,2692.29,Shell,entertainment,12.136207358814072,2487,170,2025-12-05 13:26:00.317723
012f48c3-7ab0-4620-81ff-6e6b8d10d6b5,7773.84,Google Play,entertainment,14.037749694121214,3372,195,2025-12-03 16:26:00.317800
eac14014-6677-49d3-9863-c9e773cec60b,9845.95,Suspicious Merchant,entertainment,5.291924437408193,2263,421,2025-11-18 06:26:00.317831
de4ae072-7d27-40cc-b002-8b5f57238d83,5265.63,McDonald's,travel,2.041912128626957,1338,50,2025-11-17 18:26:00.317840
d85c3557-ec0a-4044-b8a6-825f53030020,6847.37,Wells Fargo,utilities,5.184218522560014,2046,139,2025-11-20 11:26:00.317847
d46bee07-e20b-4d78-aefb-341e9cf3a0d1,817.11,Suspicious Merchant,shopping,13.188409709150942,176,404,2025-11-19 12:26:00.317853
5d64c0f6-1c53-411c-86dd-ac049099fdd2,933.76,Google Play,travel,22.818952819157644,3637,246,2025-11-18 22:26:00.317859
f0f1eeee-c827-4028-9697-c82e6b008e7a,7013.47,Airbnb,entertainment,6.539020311032275,2663,402,2025-12-06 14:26:00.317864
30c3cef8-c13d-41a2-9c67-8d94a058a5a2,5211.2,Uber,shopping,15.723319133063999,2045,179,2025-12-12 21:26:00.317870
02c06ef9-c698-4b99-a637-0569e9690f46,916.04,Uber,shopping,1.6139029741215971,1242,167,2025-12-12 12:26:00.317875
aa220ab2-3bc9-4b80-903a-83f54523b243,8117.52,Lyft,travel,6.931860536641766,676,397,2025-11-25 22:26:00.317881
3d7b6486-9630-45ac-b7b2-bd2e009cf70e,3449.5,Starbucks,shopping,17.859588137252445,2314,297,2025-12-13 13:26:00.317887
bb289b70-fb26-48b3-af7c-55630189e6c8,5972.05,Target,shopping,22.380790142754677,1981,375,2025-12-08 12:26:00.317892
007549d8-e7ad-429c-b826-34a6beccc595,3630.14,Chevron,groceries,9.832002638755995,2712,15,2025-11-27 23:26:00.317898
aec18d13-0def-4d76-84a6-0f8d84dbd0a5,2294.76,Best Buy,entertainment,15.209950273814943,2852,45,2025-12-04 13:26:00.317907
c2846939-9b6a-438b-b278-955660199f9b,8895.7,Airbnb,travel,9.782197676990053,3089,479,2025-11-24 15:26:00.317912
7c692b60-8286-42c4-8bd3-d1a3c4dee210,9158.62,Wells Fargo,entertainment,11.097288738080206,262,180,2025-11-24 08:26:00.317918
e4b73008-a610-4346-b796-98d26e145768,2276.47,Airbnb,travel,2.037206235655221,534,168,2025-11-24 13:26:00.317923
d4d7670e-766e-479c-8380-c8caf4dd33fc,8398.71,Chase,travel,22.52780466556897,36,294,2025-11-30 04:26:00.317928
c2201a35-df3a-481a-86d6-23932b613a09,9738.56,Apple Store,utilities,15.221922405271684,1832,344,2025-11-21 01:26:00.317963
4b5c5349-77f4-433b-952c-b49aac91e570,7886.81,Bank of America,travel,18.81305884582765,2828,22,2025-12-09 18:26:00.317979
6b6b81da-0ce6-4c28-8e0c-d3a02bb05852,6466.57,Best Buy,travel,14.917188573920638,680,111,2025-12-12 06:26:00.317985
5fdcacd6-ffaa-415d-a7b0-5881043a7dc7,5788.57,Expedia,entertainment,15.295873354621927,2928,91,2025-12-04 08:26:00.317991
bff4aed0-0a1d-4293-a6a0-4cfa97de11f1,7016.98,Lyft,groceries,6.414585085410408,673,252,2025-12-10 10:26:00.317996
8b885bf6-9291-4fa1-ab68-50f5a33e7252,8549.71,Wells Fargo,utilities,11.86820307390671,1821,368,2025-11-23 08:26:00.318001
ad62e64e-8a28-4e5b-a967-beda1a34aecb,6762.45,Apple Store,groceries,16.65545327058722,2359,73,2025-11-26 20:26:00.318006
a5fbe154-dbf5-4969-aac8-5ee294a5d342,3541.09,Walmart,travel,22.17128069026242,1996,364,2025-11-15 02:26:00.318012
c20d5a86-8579-41e0-b020-4c2853c7c85d,1192.75,Chevron,utilities,0.060914077441507786,1932,75,2025-12-02 17:26:00.318019
0a6f28c8-f671-4464-b174-4128765dc675,1180.08,Chevron,travel,23.863662894467357,2523,432,2025-11-28 02:26:00.318024
2e0d3526-d87e-4a05-91db-9af525191e0d,2130.91,Suspicious Merchant,groceries,18.718262506163164,428,327,2025-12-05 18:26:00.318050
194cde16-2dce-4afc-8566-2f7bc6e57321,1972.89,Amazon,utilities,14.775746260655513,1573,352,2025-11-14 20:26:00.318061
662b06b6-6d97-4fbc-bf46-c638121e5eb3,8154.09,Uber,entertainment,3.8049119765191417,2614,169,2025-11-19 23:26:00.318066
6f04e78e-2060-4412-b6fa-548bb2417bb3,8076.54,Starbucks,entertainment,11.05012450276451,15,105,2025-11-24 01:26:00.318071
06b028df-aacb-47cc-b674-b1a8b0a228bf,774.44,Chase,utilities,20.027139504536667,2722,497,2025-11-16 12:26:00.318078
